Zip Code,CITY
91012,LA CANADA FLINTRIDGE
91016,MONROVIA
91017,MONROVIA
91020,MONTROSE
91021,MONTROSE
91023,MOUNT WILSON
91024,SIERRA MADRE
91025,SIERRA MADRE
91030,SOUTH PASADENA
91031,SOUTH PASADENA
91040,SUNLAND
91041,SUNLAND
91042,TUJUNGA
91043,TUJUNGA
91046,VERDUGO CITY
91050,PASADENA
91051,PASADENA
91066,ARCADIA
91077,ARCADIA
91101,PASADENA
91102,PASADENA
91103,PASADENA
91104,PASADENA
91105,PASADENA
91106,PASADENA
91107,PASADENA
91108,SAN MARINO
91109,PASADENA
91110,PASADENA
91114,PASADENA
91115,PASADENA
91116,PASADENA
91117,PASADENA
91118,SAN MARINO
91121,PASADENA
91123,PASADENA
91124,PASADENA
91125,PASADENA
91126,PASADENA
91129,PASADENA
91131,PASADENA
91175,PASADENA
91182,PASADENA
91184,PASADENA
91185,PASADENA
91186,PASADENA
91187,PASADENA
91188,PASADENA
91189,PASADENA
91191,PASADENA
91201,GLENDALE
91202,GLENDALE
91203,GLENDALE
91204,GLENDALE
91205,GLENDALE
91206,GLENDALE
91207,GLENDALE
91208,GLENDALE
91209,GLENDALE
91210,GLENDALE
91214,LA CRESCENTA
91221,GLENDALE
91222,GLENDALE
91224,LA CRESCENTA
91225,GLENDALE
91226,GLENDALE
91301,AGOURA HILLS
91302,CALABASAS
91303,CANOGA PARK
91304,CANOGA PARK
91305,CANOGA PARK
91306,WINNETKA
91307,WEST HILLS
91308,WEST HILLS
91309,CANOGA PARK
91310,CASTAIC
91311,CHATSWORTH
91312,CHATSWORTH
91313,CHATSWORTH
91316,ENCINO
91319,NEWBURY PARK
91320,NEWBURY PARK
91321,NEWHALL
91322,NEWHALL
91324,NORTHRIDGE
91325,NORTHRIDGE
91326,NORTHRIDGE
91327,NORTHRIDGE
91328,NORTHRIDGE
91329,NORTHRIDGE
91330,NORTHRIDGE
91331,PACOIMA
91333,PACOIMA
91334,PACOIMA
91335,RESEDA
91337,RESEDA
91340,SAN FERNANDO
91341,SAN FERNANDO
91342,SYLMAR
91343,NORTH HILLS
91344,GRANADA HILLS
91345,MISSION HILLS
91346,MISSION HILLS
91350,SANTA CLARITA
91351,CANYON COUNTRY
91352,SUN VALLEY
91353,SUN VALLEY
91354,VALENCIA
91355,VALENCIA
91356,TARZANA
91357,TARZANA
91358,THOUSAND OAKS
91359,WESTLAKE VILLAGE
91360,THOUSAND OAKS
91361,WESTLAKE VILLAGE
91362,THOUSAND OAKS
91363,WESTLAKE VILLAGE
91364,WOODLAND HILLS
91365,WOODLAND HILLS
91367,WOODLAND HILLS
91371,WOODLAND HILLS
91372,CALABASAS
91376,AGOURA HILLS
91377,OAK PARK
91380,SANTA CLARITA
91381,STEVENSON RANCH
91382,SANTA CLARITA
91383,SANTA CLARITA
91384,CASTAIC
91385,VALENCIA
91386,CANYON COUNTRY
91387,CANYON COUNTRY
91388,VAN NUYS
91390,SANTA CLARITA
91392,SYLMAR
91393,NORTH HILLS
91394,GRANADA HILLS
91395,MISSION HILLS
91396,WINNETKA
91399,WOODLAND HILLS
91401,VAN NUYS
91402,PANORAMA CITY
91403,SHERMAN OAKS
91404,VAN NUYS
91405,VAN NUYS
91406,VAN NUYS
91407,VAN NUYS
91408,VAN NUYS
91409,VAN NUYS
91410,VAN NUYS
91411,VAN NUYS
91412,PANORAMA CITY
91413,SHERMAN OAKS
91416,ENCINO
91423,SHERMAN OAKS
91426,ENCINO
91436,ENCINO
91470,VAN NUYS
91482,VAN NUYS
91495,SHERMAN OAKS
91496,VAN NUYS
91497,VAN NUYS
91499,VAN NUYS
91501,BURBANK
91502,BURBANK
91503,BURBANK
91504,BURBANK
91505,BURBANK
91506,BURBANK
91507,BURBANK
91508,BURBANK
91510,BURBANK
91521,BURBANK
91522,BURBANK
91523,BURBANK
91526,BURBANK
91601,NORTH HOLLYWOOD
91602,NORTH HOLLYWOOD
91603,NORTH HOLLYWOOD
91604,STUDIO CITY
91605,NORTH HOLLYWOOD
91606,NORTH HOLLYWOOD
91607,VALLEY VILLAGE
91608,UNIVERSAL CITY
91609,NORTH HOLLYWOOD
91610,TOLUCA LAKE
91611,NORTH HOLLYWOOD
91612,NORTH HOLLYWOOD
91614,STUDIO CITY
91615,NORTH HOLLYWOOD
91616,NORTH HOLLYWOOD
91617,VALLEY VILLAGE
91618,NORTH HOLLYWOOD
91701,RANCHO CUCAMONGA
91702,AZUSA
91706,BALDWIN PARK
91708,CHINO
91709,CHINO HILLS
91710,CHINO
91711,CLAREMONT
91714,CITY OF INDUSTRY
91715,CITY OF INDUSTRY
91716,CITY OF INDUSTRY
91722,COVINA
91723,COVINA
91724,COVINA
91729,RANCHO CUCAMONGA
91730,RANCHO CUCAMONGA
91731,EL MONTE
91732,EL MONTE
91733,SOUTH EL MONTE
91734,EL MONTE
91735,EL MONTE
91737,RANCHO CUCAMONGA
91739,RANCHO CUCAMONGA
91740,GLENDORA
91741,GLENDORA
91743,GUASTI
91744,LA PUENTE
91745,HACIENDA HEIGHTS
91746,LA PUENTE
91747,LA PUENTE
91748,ROWLAND HEIGHTS
91749,LA PUENTE
91750,LA VERNE
91752,MIRA LOMA
91754,MONTEREY PARK
91755,MONTEREY PARK
91756,MONTEREY PARK
91758,ONTARIO
91759,MT BALDY
91761,ONTARIO
91762,ONTARIO
91763,MONTCLAIR
91764,ONTARIO
91765,DIAMOND BAR
91766,POMONA
91767,POMONA
91768,POMONA
91769,POMONA
91770,ROSEMEAD
91771,ROSEMEAD
91772,ROSEMEAD
91773,SAN DIMAS
91775,SAN GABRIEL
91776,SAN GABRIEL
91778,SAN GABRIEL
91780,TEMPLE CITY
91784,UPLAND
91785,UPLAND
91786,UPLAND
91788,WALNUT
91789,WALNUT
91790,WEST COVINA
91791,WEST COVINA
91792,WEST COVINA
91793,WEST COVINA
91795,WALNUT
91797,POMONA
91798,ONTARIO
91799,POMONA
91801,ALHAMBRA
91802,ALHAMBRA
91803,ALHAMBRA
91804,ALHAMBRA
91841,ALHAMBRA
91896,ALHAMBRA
91899,ALHAMBRA
91901,ALPINE
91902,BONITA
91903,ALPINE
91905,BOULEVARD
91906,CAMPO
91908,BONITA
91909,CHULA VISTA
91910,CHULA VISTA
91911,CHULA VISTA
91912,CHULA VISTA
91913,CHULA VISTA
91914,CHULA VISTA
91915,CHULA VISTA
91916,DESCANSO
91917,DULZURA
91921,CHULA VISTA
91931,GUATAY
91932,IMPERIAL BEACH
91933,IMPERIAL BEACH
91934,JACUMBA
91935,JAMUL
91941,LA MESA
91942,LA MESA
91943,LA MESA
91944,LA MESA
91945,LEMON GROVE
91946,LEMON GROVE
91947,LINCOLN ACRES
91948,MOUNT LAGUNA
91950,NATIONAL CITY
91951,NATIONAL CITY
91962,PINE VALLEY
91963,POTRERO
91976,SPRING VALLEY
91977,SPRING VALLEY
91978,SPRING VALLEY
91979,SPRING VALLEY
91980,TECATE
91987,TECATE
91990,POTRERO
92003,BONSALL
92004,BORREGO SPRINGS
92007,CARDIFF BY THE SEA
92008,CARLSBAD
92009,CARLSBAD
92013,CARLSBAD
92014,DEL MAR
92018,CARLSBAD
92019,EL CAJON
92020,EL CAJON
92021,EL CAJON
92022,EL CAJON
92023,ENCINITAS
92024,ENCINITAS
92025,ESCONDIDO
92026,ESCONDIDO
92027,ESCONDIDO
92028,FALLBROOK
92029,ESCONDIDO
92030,ESCONDIDO
92033,ESCONDIDO
92036,JULIAN
92037,LA JOLLA
92038,LA JOLLA
92039,LA JOLLA
92040,LAKESIDE
92046,ESCONDIDO
92049,OCEANSIDE
92051,OCEANSIDE
92052,OCEANSIDE
92054,OCEANSIDE
92055,CAMP PENDLETON
92056,OCEANSIDE
92057,OCEANSIDE
92058,OCEANSIDE
92059,PALA
92060,PALOMAR MOUNTAIN
92061,PAUMA VALLEY
92064,POWAY
92065,RAMONA
92066,RANCHITA
92067,RANCHO SANTA FE
92068,SAN LUIS REY
92069,SAN MARCOS
92070,SANTA YSABEL
92071,SANTEE
92072,SANTEE
92074,POWAY
92075,SOLANA BEACH
92078,SAN MARCOS
92079,SAN MARCOS
92082,VALLEY CENTER
92083,VISTA
92084,VISTA
92085,VISTA
92086,WARNER SPRINGS
92088,FALLBROOK
92090,EL CAJON
92091,RANCHO SANTA FE
92092,LA JOLLA
92093,LA JOLLA
92096,SAN MARCOS
92101,SAN DIEGO
92102,SAN DIEGO
92103,SAN DIEGO
92104,SAN DIEGO
92105,SAN DIEGO
92106,SAN DIEGO
92107,SAN DIEGO
92108,SAN DIEGO
92109,SAN DIEGO
92110,SAN DIEGO
92111,SAN DIEGO
92112,SAN DIEGO
92113,SAN DIEGO
92114,SAN DIEGO
92115,SAN DIEGO
92116,SAN DIEGO
92117,SAN DIEGO
92118,CORONADO
92119,SAN DIEGO
92120,SAN DIEGO
92121,SAN DIEGO
92122,SAN DIEGO
92123,SAN DIEGO
92124,SAN DIEGO
92126,SAN DIEGO
92127,SAN DIEGO
92128,SAN DIEGO
92129,SAN DIEGO
92130,SAN DIEGO
92131,SAN DIEGO
92132,SAN DIEGO
92133,SAN DIEGO
92134,SAN DIEGO
92135,SAN DIEGO
92136,SAN DIEGO
92137,SAN DIEGO
92138,SAN DIEGO
92139,SAN DIEGO
92140,SAN DIEGO
92142,SAN DIEGO
92143,SAN YSIDRO
92145,SAN DIEGO
92147,SAN DIEGO
92149,SAN DIEGO
92150,SAN DIEGO
92152,SAN DIEGO
92153,SAN DIEGO
92154,SAN DIEGO
92155,SAN DIEGO
92158,SAN DIEGO
92159,SAN DIEGO
92160,SAN DIEGO
92161,SAN DIEGO
92162,SAN DIEGO
92163,SAN DIEGO
92164,SAN DIEGO
92165,SAN DIEGO
92166,SAN DIEGO
92167,SAN DIEGO
92168,SAN DIEGO
92169,SAN DIEGO
92170,SAN DIEGO
92171,SAN DIEGO
92172,SAN DIEGO
92173,SAN YSIDRO
92174,SAN DIEGO
92175,SAN DIEGO
92176,SAN DIEGO
92177,SAN DIEGO
92178,CORONADO
92179,SAN DIEGO
92182,SAN DIEGO
92184,SAN DIEGO
92186,SAN DIEGO
92187,SAN DIEGO
92190,SAN DIEGO
92191,SAN DIEGO
92192,SAN DIEGO
92193,SAN DIEGO
92194,SAN DIEGO
92195,SAN DIEGO
92196,SAN DIEGO
92197,SAN DIEGO
92198,SAN DIEGO
92199,SAN DIEGO
92201,INDIO
92202,INDIO
92203,INDIO
92210,INDIAN WELLS
92211,PALM DESERT
92220,BANNING
92222,BARD
92223,BEAUMONT
92225,BLYTHE
92226,BLYTHE
92227,BRAWLEY
92230,CABAZON
92231,CALEXICO
92232,CALEXICO
92233,CALIPATRIA
92234,CATHEDRAL CITY
92235,CATHEDRAL CITY
92236,COACHELLA
92239,DESERT CENTER
92240,DESERT HOT SPRINGS
92241,DESERT HOT SPRINGS
92242,EARP
92243,EL CENTRO
92244,EL CENTRO
92249,HEBER
92250,HOLTVILLE
92251,IMPERIAL
92252,JOSHUA TREE
92253,LA QUINTA
92254,MECCA
92255,PALM DESERT
92256,MORONGO VALLEY
92257,NILAND
92258,NORTH PALM SPRINGS
92259,OCOTILLO
92260,PALM DESERT
92261,PALM DESERT
92262,PALM SPRINGS
92263,PALM SPRINGS
92264,PALM SPRINGS
92266,PALO VERDE
92267,PARKER DAM
92268,PIONEERTOWN
92270,RANCHO MIRAGE
92273,SEELEY
92274,THERMAL
92275,SALTON CITY
92276,THOUSAND PALMS
92277,TWENTYNINE PALMS
92278,TWENTYNINE PALMS
92280,VIDAL
92281,WESTMORLAND
92282,WHITE WATER
92283,WINTERHAVEN
92284,YUCCA VALLEY
92285,LANDERS
92286,YUCCA VALLEY
92292,PALM SPRINGS
92301,ADELANTO
92304,AMBOY
92305,ANGELUS OAKS
92307,APPLE VALLEY
92308,APPLE VALLEY
92309,BAKER
92310,FORT IRWIN
92311,BARSTOW
92312,BARSTOW
92313,GRAND TERRACE
92314,BIG BEAR CITY
92315,BIG BEAR LAKE
92316,BLOOMINGTON
92317,BLUE JAY
92318,BRYN MAWR
92320,CALIMESA
92321,CEDAR GLEN
92322,CEDARPINES PARK
92323,CIMA
92324,COLTON
92325,CRESTLINE
92326,CREST PARK
92327,DAGGETT
92328,DEATH VALLEY
92329,PHELAN
92332,ESSEX
92333,FAWNSKIN
92334,FONTANA
92335,FONTANA
92336,FONTANA
92337,FONTANA
92338,LUDLOW
92339,FOREST FALLS
92340,HESPERIA
92341,GREEN VALLEY LAKE
92342,HELENDALE
92345,HESPERIA
92346,HIGHLAND
92347,HINKLEY
92350,LOMA LINDA
92352,LAKE ARROWHEAD
92354,LOMA LINDA
92356,LUCERNE VALLEY
92357,LOMA LINDA
92358,LYTLE CREEK
92359,MENTONE
92363,NEEDLES
92364,NIPTON
92365,NEWBERRY SPRINGS
92366,MOUNTAIN PASS
92368,ORO GRANDE
92369,PATTON
92371,PHELAN
92372,PINON HILLS
92373,REDLANDS
92374,REDLANDS
92375,REDLANDS
92376,RIALTO
92377,RIALTO
92378,RIMFOREST
92382,RUNNING SPRINGS
92384,SHOSHONE
92385,SKYFOREST
92386,SUGARLOAF
92389,TECOPA
92391,TWIN PEAKS
92392,VICTORVILLE
92393,VICTORVILLE
92394,VICTORVILLE
92397,WRIGHTWOOD
92398,YERMO
92399,YUCAIPA
92401,SAN BERNARDINO
92402,SAN BERNARDINO
92403,SAN BERNARDINO
92404,SAN BERNARDINO
92405,SAN BERNARDINO
92406,SAN BERNARDINO
92407,SAN BERNARDINO
92408,SAN BERNARDINO
92410,SAN BERNARDINO
92411,SAN BERNARDINO
92412,SAN BERNARDINO
92413,SAN BERNARDINO
92414,SAN BERNARDINO
92415,SAN BERNARDINO
92418,SAN BERNARDINO
92420,SAN BERNARDINO
92423,SAN BERNARDINO
92424,SAN BERNARDINO
92427,SAN BERNARDINO
92501,RIVERSIDE
92502,RIVERSIDE
92503,RIVERSIDE
92504,RIVERSIDE
92505,RIVERSIDE
92506,RIVERSIDE
92507,RIVERSIDE
92508,RIVERSIDE
92509,RIVERSIDE
92513,RIVERSIDE
92514,RIVERSIDE
92515,RIVERSIDE
92516,RIVERSIDE
92517,RIVERSIDE
92518,MARCH AIR FORCE BASE
92519,RIVERSIDE
92521,RIVERSIDE
92522,RIVERSIDE
92530,LAKE ELSINORE
92531,LAKE ELSINORE
92532,LAKE ELSINORE
92536,AGUANGA
92539,ANZA
92543,HEMET
92544,HEMET
92545,HEMET
92546,HEMET
92548,HOMELAND
92549,IDYLLWILD
92551,MORENO VALLEY
92552,MORENO VALLEY
92553,MORENO VALLEY
92554,MORENO VALLEY
92555,MORENO VALLEY
92556,MORENO VALLEY
92557,MORENO VALLEY
92561,MOUNTAIN CENTER
92562,MURRIETA
92563,MURRIETA
92564,MURRIETA
92567,NUEVO
92570,PERRIS
92571,PERRIS
92572,PERRIS
92581,SAN JACINTO
92582,SAN JACINTO
92583,SAN JACINTO
92584,MENIFEE
92585,SUN CITY
92586,SUN CITY
92587,SUN CITY
92589,TEMECULA
92590,TEMECULA
92591,TEMECULA
92592,TEMECULA
92593,TEMECULA
92595,WILDOMAR
92596,WINCHESTER
92599,PERRIS
92602,IRVINE
92603,IRVINE
92604,IRVINE
92605,HUNTINGTON BEACH
92606,IRVINE
92607,LAGUNA NIGUEL
92609,EL TORO
92610,FOOTHILL RANCH
92612,IRVINE
92614,IRVINE
92615,HUNTINGTON BEACH
92616,IRVINE
92618,IRVINE
92619,IRVINE
92620,IRVINE
92623,IRVINE
92624,CAPISTRANO BEACH
92625,CORONA DEL MAR
92626,COSTA MESA
92627,COSTA MESA
92628,COSTA MESA
92629,DANA POINT
92630,LAKE FOREST
92637,LAGUNA HILLS
92646,HUNTINGTON BEACH
92647,HUNTINGTON BEACH
92648,HUNTINGTON BEACH
92649,HUNTINGTON BEACH
92650,EAST IRVINE
92651,LAGUNA BEACH
92652,LAGUNA BEACH
92653,LAGUNA HILLS
92654,LAGUNA HILLS
92655,MIDWAY CITY
92656,ALISO VIEJO
92657,NEWPORT COAST
92658,NEWPORT BEACH
92659,NEWPORT BEACH
92660,NEWPORT BEACH
92661,NEWPORT BEACH
92662,NEWPORT BEACH
92663,NEWPORT BEACH
92672,SAN CLEMENTE
92673,SAN CLEMENTE
92674,SAN CLEMENTE
92675,SAN JUAN CAPISTRANO
92676,SILVERADO
92677,LAGUNA NIGUEL
92678,TRABUCO CANYON
92679,TRABUCO CANYON
92683,WESTMINSTER
92684,WESTMINSTER
92685,WESTMINSTER
92688,RANCHO SANTA MARGARITA
92690,MISSION VIEJO
92691,MISSION VIEJO
92692,MISSION VIEJO
92693,SAN JUAN CAPISTRANO
92694,LADERA RANCH
92697,IRVINE
92698,ALISO VIEJO
92701,SANTA ANA
92702,SANTA ANA
92703,SANTA ANA
92704,SANTA ANA
92705,SANTA ANA
92706,SANTA ANA
92707,SANTA ANA
92708,FOUNTAIN VALLEY
92709,IRVINE
92710,IRVINE
92711,SANTA ANA
92712,SANTA ANA
92728,FOUNTAIN VALLEY
92735,SANTA ANA
92780,TUSTIN
92781,TUSTIN
92782,TUSTIN
92799,SANTA ANA
92801,ANAHEIM
92802,ANAHEIM
92803,ANAHEIM
92804,ANAHEIM
92805,ANAHEIM
92806,ANAHEIM
92807,ANAHEIM
92808,ANAHEIM
92809,ANAHEIM
92811,ATWOOD
92812,ANAHEIM
92814,ANAHEIM
92815,ANAHEIM
92816,ANAHEIM
92817,ANAHEIM
92821,BREA
92822,BREA
92823,BREA
92825,ANAHEIM
92831,FULLERTON
92832,FULLERTON
92833,FULLERTON
92834,FULLERTON
92835,FULLERTON
92836,FULLERTON
92837,FULLERTON
92838,FULLERTON
92840,GARDEN GROVE
92841,GARDEN GROVE
92842,GARDEN GROVE
92843,GARDEN GROVE
92844,GARDEN GROVE
92845,GARDEN GROVE
92846,GARDEN GROVE
92850,ANAHEIM
92856,ORANGE
92857,ORANGE
92859,ORANGE
92860,NORCO
92861,VILLA PARK
92862,ORANGE
92863,ORANGE
92864,ORANGE
92865,ORANGE
92866,ORANGE
92867,ORANGE
92868,ORANGE
92869,ORANGE
92870,PLACENTIA
92871,PLACENTIA
92877,CORONA
92878,CORONA
92879,CORONA
92880,CORONA
92881,CORONA
92882,CORONA
92883,CORONA
92885,YORBA LINDA
92886,YORBA LINDA
92887,YORBA LINDA
92899,ANAHEIM
93001,VENTURA
93002,VENTURA
93003,VENTURA
93004,VENTURA
93005,VENTURA
93006,VENTURA
93007,VENTURA
93009,VENTURA
93010,CAMARILLO
93011,CAMARILLO
93012,CAMARILLO
93013,CARPINTERIA
93014,CARPINTERIA
93015,FILLMORE
93016,FILLMORE
93020,MOORPARK
93021,MOORPARK
93022,OAK VIEW
93023,OJAI
93024,OJAI
93030,OXNARD
93031,OXNARD
93032,OXNARD
93033,OXNARD
93034,OXNARD
93035,OXNARD
93040,PIRU
93041,PORT HUENEME
93042,POINT MUGU NAWC
93043,PORT HUENEME CBC BASE
93044,PORT HUENEME
93060,SANTA PAULA
93061,SANTA PAULA
93062,SIMI VALLEY
93063,SIMI VALLEY
93064,BRANDEIS
93065,SIMI VALLEY
93066,SOMIS
93067,SUMMERLAND
93093,SIMI VALLEY
93094,SIMI VALLEY
93099,SIMI VALLEY
93101,SANTA BARBARA
93102,SANTA BARBARA
93103,SANTA BARBARA
93105,SANTA BARBARA
93106,SANTA BARBARA
93107,SANTA BARBARA
93108,SANTA BARBARA
93109,SANTA BARBARA
93110,SANTA BARBARA
93111,SANTA BARBARA
93116,GOLETA
93117,GOLETA
93118,GOLETA
93120,SANTA BARBARA
93121,SANTA BARBARA
93130,SANTA BARBARA
93140,SANTA BARBARA
93150,SANTA BARBARA
93160,SANTA BARBARA
93190,SANTA BARBARA
93199,GOLETA
93201,ALPAUGH
93202,ARMONA
93203,ARVIN
93204,AVENAL
93205,BODFISH
93206,BUTTONWILLOW
93207,CALIFORNIA HOT SPRINGS
93208,CAMP NELSON
93210,COALINGA
93212,CORCORAN
93215,DELANO
93216,DELANO
93218,DUCOR
93219,EARLIMART
93220,EDISON
93221,EXETER
93222,FRAZIER PARK
93223,FARMERSVILLE
93224,FELLOWS
93225,FRAZIER PARK
93226,GLENNVILLE
93227,GOSHEN
93230,HANFORD
93232,HANFORD
93234,HURON
93235,IVANHOE
93237,KAWEAH
93238,KERNVILLE
93239,KETTLEMAN CITY
93240,LAKE ISABELLA
93241,LAMONT
93242,LATON
93243,LEBEC
93244,LEMON COVE
93245,LEMOORE
93246,LEMOORE
93247,LINDSAY
93249,LOST HILLS
93250,MC FARLAND
93251,MC KITTRICK
93252,MARICOPA
93254,NEW CUYAMA
93255,ONYX
93256,PIXLEY
93257,PORTERVILLE
93258,PORTERVILLE
93260,POSEY
93261,RICHGROVE
93262,SEQUOIA NATIONAL PARK
93263,SHAFTER
93265,SPRINGVILLE
93266,STRATFORD
93267,STRATHMORE
93268,TAFT
93270,TERRA BELLA
93271,THREE RIVERS
93272,TIPTON
93274,TULARE
93275,TULARE
93276,TUPMAN
93277,VISALIA
93278,VISALIA
93279,VISALIA
93280,WASCO
93282,WAUKENA
93283,WELDON
93285,WOFFORD HEIGHTS
93286,WOODLAKE
